vid	title	original tags	predict topics
6711452109244272640	Day,3,|,Madame,Tussauds,London,伦敦杜莎夫人蜡像馆,伦敦自由行	['Madame Tussauds London', 'Madame Tussauds', '倫敦杜莎夫人蠟像館', '杜莎夫人蠟像館', '集郵', '倫敦市集', '倫敦', 'Central London', 'British', 'Europe', 'London', 'Amsterdam', 'England', 'Holland', 'Netherland', 'trips', 'Lufthansa', 'Pound', 'Euro', 'United Kingdom', 'Germany', 'Spring', 'snow', 'cold', 'EU', '歐遊', '英國', '荷蘭', '希思羅機場', '機場', 'LHR', 'Heathrow', 'London Eye', 'London bridge', 'airbnb', 'expedia', 'Zoella', '倫敦自由行']	['穷游', '留学', '新西兰行', '泰国行', '无人机']
6704614790902124544	【英雄联盟LOL】超极限锁血弗拉迪米尔剪辑,(Vladimir,Montage)	['Vladimir', '吸血鬼', 'Montage', '英雄聯盟', 'LOL', '極限', '鎖血', '弗拉迪米爾', 'League of legends']	['游戏集锦', '游戏解说', '游戏实况', '电竞', '游戏点评']
6716379093514653696	怎么会有这么蠢的英雄？居然还怕黑？简直太傻了，完全没有主角光环啊！,|,第三章,好人，坏人和公主,|,这里没有游戏,There,Is,No,Game,【纸鱼】	['紙魚', '纸鱼', '薄海纸鱼', '薄海紙魚', '遊戲', '獨立遊戲', '中文字幕', 'Gameplay', '單機遊戲', '单机游戏', '独立游戏', '中文', 'There Is No Game', '這裡沒有遊戲', '这里没有游戏', '像素', '解謎', '解谜', '搞笑']	['游戏实况', '游戏资讯', '游戏点评', '主机游戏', '游戏集锦']
6704442361206611968	#079,Jake,Shimabukuro,-`Island,Fever,Blue,`,Cover,(Demo),肥猫乌克丽丽教学	['Jake Shimabukuro', 'Island Fever Blue', 'ukulele tutorial', '肥貓烏克麗麗教學', '烏克麗麗教學']	['民谣', '翻唱', '热门音乐', '古典', '纯音乐']
6704606418266038272	杨乃文,Naiwen,Yang,2019全新专辑《越美丽越看不见》11.15正式发行	['楊乃文', '悔過書']	['热门音乐', '港台娱乐', '嘻哈', '翻唱', '选秀']
6702203731943690240	淘宝开箱|新加坡淘宝-海运最后一批终于到了！看我买了啥好东西😄	['新加坡淘宝', '淘宝新加坡', '海运新加坡', '新加坡移民', '新加坡生活', '移民新加坡', '淘宝海运新加坡', '双十一淘宝', '淘宝开箱', '淘宝家居', '家具淘宝', 'taobao SG', 'Taobao Singapore', 'how to taobao in singapore']	['穿搭', '购物', '球鞋开箱', '护肤', '美妆']
6704576570776690688	五分钟手臂线条运动｜速成欧美线条（无仪器）	['Arm workout for women', '瘦手臂運動', '美胸運動', '快速瘦手臂', '減副乳運動', '女生上半身運動', '在家手臂運動', '手臂在家做', 'lean arms', 'toned arms', '手臂線條運動', '手臂運動', '掰掰肉運動', '減掰掰肉手臂', '手臂訓練', '女生手臂訓練', '顯鎖骨運動', '練性感手臂肌肉', '練歐美線條', '女生徒手健身', '女生徒手訓練', '手臂減減肥', '蝴蝶袖運動', 'how to loose arm fat', 'how to get rid of flabby arms', 'toned arm workout', 'upper body workout for women']	['普拉提', '健身操', '瘦手臂', '健身计划', '健身技巧']
6704599498490716160	【护妍天使】周深周边开箱+唠叨碎念─卡套、人形压克力牌、惊喜盒	['周深', 'zhou shen', '護妍天使']	['选秀', '内地娱乐', '热门音乐', '情歌', '港台娱乐']
6700598788413526017	百亿剧好看,小伙子挑战极限，居然敢这么整这个姑娘，佩服|	['全网', '职场', '路程', '小伙子', '套路', '极限', '佩服', '同事', '视频', '奇葩']	['搞笑短片', '单身主义', '搞笑动画', '段子', '社会实验']
6704586008648556544	【ディズニーランドも】留学中のカルフォルニア旅行	['CyberLink', 'PowerDirector13', 'アメリカ', '留学', '高校生', 'オレゴン州', 'オレゴン', 'ポートランド', 'セーラム', '高校生のアメリカ留学', 'ホームステイ', '海外', '交換留学', '短期留学', '長期留学', 'アメリカ留学', '学生', '文化', '英語', '英会話', 'カルフォルニア', 'ディズニーランド', 'ジェットコースター', 'ハリウッド', 'ドライブ', '旅行', '春休み', 'six flags', 'masic mountain', 'ディズニー']	['海外生活', '英语', '留学', '高考', '公开课']
6704394880007606272	骑车安全守护者Garmin,VariaRVR315／VariaRTL515开箱【LindaLovesCycling】	['garmin尾燈', 'varia系列的功能是什麼', 'varia好用嗎', '自行車後視雷達', '城市通勤', '尾燈', '自行車後燈', '自行車安全', '城市通勤的安全', '外出騎車必備後燈', '尾燈保命']	['汽车资讯', '二手车', '试驾', '汽车评测', '摩托车']
6700636801310990336	台湾怪谈-米娜的亲身经历一【米娜朗读】	['實況', '配音', '故事', '都市傳說', '恐怖', '驚悚', '怪談', '廣播劇', '鬼故事', '靈異', '音フェチ', '塔羅', '占卜', '神諭卡', '愛情', '感情', 'Tarot', '天使卡', '療癒', '運勢', '算命', '心理測驗', 'oracle', 'cards']	['命理', '玄学', '风水', '星座', '单身主义']
6704458910730620928	新环游九洲之旅,-,第五集,[鹿儿岛篇]	['日本', '九洲', '旅遊', '自駕遊', '文化財', '宮崎', '青島', '鬼之洗衣板', '青島神社', '鵜戶神宮', '鹿兒島', '櫻島火山', '下關', '李鴻章道', '唐戶市場', '河豚', '門司港', '藍翼橋', '美食', 'Japan', 'Travel', 'Kyushu', '鹿兒島水族館', '櫻島', '精品酒店', '黑豚', '有村溶岩展望所', '湯之平展望所', '袴腰烏島溶岩探勝道', '黑潮水槽', '仙嚴園', '道の駅たるみず足湯館', '櫻島渡輪', '海豚表演', '炸猪排', '中央車站摩天輪', '豚肉拉麵', '錦江灣', '黑豚火鍋', '黒しやぶ', 'しやぶしやぶ', '刨冰', '白熊刨冰', '足浴']	['穷游', '自驾游', '日本行', '越南行', '美景']
6704482412393205760	75.蛙式脚夹水训练---1`转脚掌与`夹水--阳文滨游泳教学工作室	['游泳教學']	['爵士舞', '游泳', '健身技巧', '健身操', '普拉提']
6700269793130123264	【金剪刀】体验，小米众筹近1000万，399惠普打印机，告诉你，不知道行业的秘密！	['金剪刀', '开箱', '体验', '试玩', '试吃', '吐槽', '测评', '淘宝']	['穿戴设备', '护肤', '穿搭', '球鞋开箱', '购物']
6704634745932550144	《易经新诠》42益卦(1),|,384爻逐一讲解,|,傅佩荣国学官方频道	['傅佩榮', '易經', '國學', '傅佩榮國學', '易經入門十七講', '傅佩榮國學官方', '莊子', '傅佩榮易經', '占卦', '解卦', '易經占卦', '易經解卦', '傅佩荣', '易经', '傅佩荣 易经', '易经占卦', '易经解卦', '傅佩荣国学', '易经入门', '论语', '孔门弟子', '南怀瑾', '张其成', '南懷瑾', '張其成', '易经入门十七讲', '筹策', '籌策', '易經 課程', '傅佩榮 易經', '易經入門17', '易经入门17', '傅佩', '哲學與人生', '哲学与人生', '西方哲學', '西洋哲學', '西方哲学', '西洋哲学', '清涼', '清涼音', '台大', '台大公開課', '喜马拉雅', '老子', '庄子']	['风水', '命理', '玄学', '国学', '生肖']
6701327738760667136	大疆无人机,御air,开箱	['数码', '无人机', '黑科技', '体验', '大疆']	['无人机', '相机', '手机', '摄影', '穿戴设备']
6704474747533332480	トラクター。ひたすらに。`出荷が止まり、不安定な日々。叶物农家は何をするのか2020年3月20日(金),売上0円	['沖田大作', '新規就農者', '農業', '農作業', '耕耘', '畝立て']	['三农', '农家生活', '乡村美食', '园艺', '赶海']
6704427384508850176	Bangkok,Memories,曼谷两三事	['bangkok', '曼谷', '潑水', 'songkran', 'mahanakhon', "brother's bar", 'siss', 'gcircuit']	['泰国行', '穷游', '新西兰行', '摩托车', '自驾游']
6704569005359566848	我的世界神秘时代86,体型巨大的人造傀儡诞生！泰坦生物望而生畏	['我的世界', 'Minecraft', '模组', '方块游戏', '迷你世界', '单机游戏', 'MC', 'MOD', '我的世界mod', '我的世界拔刀劍生存']	['主机游戏', '游戏实况', '游戏资讯', '游戏集锦', '游戏解说']
6704643208607768576	SUPER☆GiRLS,/,明日を信じてみたいって思えるよ,樋口なづな,个人サビver.	['SUPER☆GiRLS', 'スパガ', 'アイドルストリート', 'アイスト', 'iDOL Street', '渡邉幸愛', '阿部夢梨', '長尾しおり', '金澤有希', '石丸千賀', '坂林佳奈', '井上真由子', '門林有羽', '樋口なづな', '松本愛花']	['NBA', '牙科', '太极拳', '瑞士行', '汉语']
6710827742885908480	テーブルに付くとスーッと膝の上に乘ってくる野良猫が可爱过ぎる	['猫', '野良猫', 'Cat', '感動猫動画', 'قط', 'straycat', 'gatto', 'Kucing', 'Кіт', 'kat', 'Gato', 'แมว', 'meow', 'kedi', 'ਬਿੱਲੀ', 'बिल्ली', 'kissa', 'Mèo', 'বিড়াল', 'кот', '고양이', '貓', 'Katė']	['猫咪', '狗狗', '动物', '宠物用品', '鸟类']
6704447667529654272	每日撸报12.13,doinb运气游戏！他运气太好了！	['每日撸报', '孙悟空', '大司马', '金牌讲师', 'bgm', '青蛙', '毒纪', '懒羊羊', '洞主', '德云色', '西卡', '笑笑', 'lol', '英雄联盟', '骚男', 'PDD', '普朗多', '油条', '韦神', '死亡宣告', 'JY', '蛋糕', '嫖老师', '魔兽后裔', '辛巴', 'faker', '赏金术士', '大奶强', '七号', 'gogoing', '大鹌鹑', '若风']	['游戏集锦', '游戏实况', '电竞', '游戏解说', '游戏点评']
6704477434870046720	ABH,Sultry眼影盘桃花妆/双眼皮一年心得、近况更新	['ANASTASIA BEVERLY HILLS', 'Sultry Eyeshadow Palette', 'ABH', '雙眼皮一年', '割雙眼皮', '醫美']	['护肤', '美妆', '医美', '美发', '美甲']
6690235017895682048	钢琴版Piano,Cover,《知否知否》电视剧《知否知否应是绿肥红瘦》,|,钢琴演奏,|,文武贝	['独立音乐', '音乐人', '金志文', '鹿晗', '风华秋实', '张艺兴', '吴亦凡', 'SNH48', '周杰伦', '告白气球', '黄明志', '王力宏', '飘向北方', '邓紫棋', '光年之外', '舞台', '贾斯汀比伯', '泰勒斯威夫特', 'LuHan', 'LAY', 'Kris', 'EXO-L', '韩国', 'IU', 'EXID', '张杰，林俊杰.JJ', '漂洋过海的来看你', '心率', '家家', '华晨宇', '张靓颖', '林忆莲', '原创歌曲', '民谣', '说唱', '翻唱', 'Wellby', '情歌', '中国风', '钢琴曲', '郎朗', '李云迪', '莫扎特', '夜色钢琴曲', '天空之城', '石进', '夜色鋼琴曲']	['热门音乐', '选秀', '情歌', '古典', '翻唱']
6704571706654924800	【动漫乱入＃5】一拳超人VS黑一拳超人【中】saitama,vs,dark,saitama＃2	['一拳超人', 'one punch man', '埼玉', '黑埼玉', 'deep saitama', 'saitama']	['动漫解说', '儿童玩具', '搞笑动画', '番剧', '日漫']
6704608775368417280	★祝令和★ラヴィール冈山ドローンムービー	['結婚式', '岡山', 'ドローン', '令和', 'ウエディング', 'フラッシュモブ', 'ダンス', 'reiwa', '新元号', 'リニューアル']	['书法', '柔道', '日本娱乐', '声优', '日本综艺']
6701772238138187776	σ`∀´)σ帮史莱姆化妆😂罗勒的恶搞实验室#10｜九层塔	['史萊姆', '史莱姆', 'Slime', 'すらいむ', '슬라임', 'ASMR', '手作', '手工', '水晶泥', '鬼口水', '拉麵膠', '透泰', '教學', 'DIY', '水晶黏土', '果凍史萊姆', '雪花泥', '綿綿冰', '雪花史萊姆', '綿綿冰史萊姆', '雪粉', '棉花泥', '甘油', '史萊姆配件', '史萊姆填充', 'dok聲', '好拉', '好戳', '膠水', '白膠史萊姆', '硼砂', '金箔', '銀箔', '雲朵漸層', '紓壓泥', '紓壓小物', '療愈', '療愈小物', '戳聲', '粒粒', '高雄實體店', '史萊姆實體店', '實體店', '高雄史萊姆', '九層塔史萊姆', '九層塔Slime', '新堀江史萊姆', '高雄新堀江', '新堀江實體店', '漸層史萊姆', '雲朵史萊姆', '沉底史萊姆', 'HowtomakeSlime', 'CrystalSlime', 'iceednaa', 'tw_basil', '史萊姆實驗室', '史萊姆實驗', '惡搞史萊姆', '史萊姆化妝']	['手工', '手帐', '大力士', '手艺', '德州扑克']
6704355194098749440	ふなっしー备前焼制作の里侧【ふなっしーLAND公式】	['ふなっしー', 'funassyi', '備前焼', '陶芸', 'ふなっしーLAND']	['书法', '绘画', '手艺', '装修', '发明']
6704577680912486400	烘焙解密,台式经典波罗面包三变化,一种台式面团居然可以做出这么多变化	['食譜', '烘焙', '陳明忠', '愛與恨', '台式麵包', 'taiwan bread', '波羅麵包', '布丁麵包', '菠蘿油']	['烘焙', '美食教程', '创意料理', '甜品', '川菜']
6715120515218739200	虾仁豆腐煲，我家爱吃这道菜，简单易做又美味【山哥山嫂】	['潮汕', '重慶', '妹子', '美女', '家常美食', '美食', '農村', '菜譜', '食譜', '生活', 'vlog', '蝦仁', '豆腐']	['美食教程', '乡村美食', '三农', '川菜', '美食纪录片']
6704442676261756928	晋州城の戦い【朝鲜出兵】　日本军の本気！戦国武将大集结。	['日本史', '戦国武将', '歴史', '世界史', '侍']	['军情', '历史知识', '书法', '天文', '历史故事']
6704632293795635200	【道上都叫我赤木刚宪】测评,l,全脸泰国假货妆容挑战	['正牌 冒牌比較', '假貨彩妝', '化妝', '化妆', '道上都叫我赤木刚宪', '时尚', 'stila液體眼影', 'Makeuptutorial', 'fashion', '赤木', '仿妆', '美妝', '美妆', '鑽石盤眼影', '美妝小技巧', '廉價彩妝', 'makeup', '美妝挑戰', '大牌假貨', '沙漠盤眼影', '美妆小技巧', '赤木剛憲', 'kylie', 'nyx', '購物', '假貨測評', 'tips', 'Makeup', '赤木刚宪', '美容', 'Makeup Tips', '時尚', '玫瑰盤眼影', 'beauty', 'vlog', '敗家', 'Beauty', '博主', 'nars', '泰國', '全臉假貨', 'hudabeauty', 'stila', 'luna', '假貨', '大牌假货测评', '泰國美妝假貨', '假貨化妝品', '假貨開箱', '仿冒品', '新手化妆', '化妆技巧', '化妝品', '美妝品', '彩妝', '彩妝品', '護膚', '護膚品', '保養', '保養品', '液體眼影', '液態眼影', '山寨', '山寨品牌', '山寨品', '盜版']	['美妆', '护肤', '穿搭', '美发', '购物']
6704433171763372032	余宛蓉,翻唱,思念无罪（原唱,吴申梅）	['吳申梅', '思念無罪', '余宛蓉', '翻唱', 'cover']	['热门音乐', '情歌', '翻唱', '经典老歌', '原创音乐']
6704406640508870656	【鬼灭之刃杂谈】无限城上弦功劳排名，鬼奸猗窝座垫底	['动漫杂谈', '全能打卡挑战', '伊之助', '村田', '鬼灭之刃', '鬼杀队', '炭治郎', '善逸']	['番剧', '动漫解说', '日漫', '同人', '国漫']
6704622851943374848	【柚子开箱TV】,异形控必备!!,俗搁大碗,异形公仔开箱,(FuRyu,SSS,异形,Alien)	['夾娃娃', '異形', '異形開箱', '異形公仔']	['娃娃机教学', '植物', '儿童玩具', '科幻片', '动漫解说']
6704379028025712640	10句必知的超常用、让你英语超地道的商务英语神句	['商务英语', 'maaaxter english', '英语口语']	['英语', '汉语', '海外生活', '公开课', '留学']
6704402099990241280	烟幻的杀戮往昔【地狱级】项羽,光成就,神魔查尔斯の文字攻略	['神魔之塔', 'Tower of Saviors', '查爾斯', '地獄級', '煙幻的殺戮往昔', 'Phantom of Blood Debts', 'Ashes to Ashes', '往事如煙', 'Ultimate']	['儿童玩具', '儿童节目', '特摄', '爵士舞', '童话故事']
6699958642492121088	史上票房第一动画的续作能否再续辉煌？【冰雪奇缘2主观评价】	['影评', '动漫杂谈', '动画电影', '迪士尼电影', '冰雪奇缘', '影视杂谈', '冰雪奇缘2', '综漫', '美漫']	['动漫解说', '美剧', '影评', '影视解说', '大陆电影']
6677525222965186560	灭蚊神器？颜值最高的驱蚊器套装,米家驱蚊器开箱试用,xiaomi,mijia,mosquito,dispeller	['小米', '米家', 'xiaomi', 'mijia', '米家驱蚊器', '驱蚊器', '车震', '蚊子', '灭蚊', '米家驱蚊器 评价', '开箱评测', 'mijia mosquito dispeller', 'xiaomi mijia mosquito dispeller', 'xiaomi mijia electric household mosquito dispeller']	['穿戴设备', '手机', '相机', '电脑', '摄影']
6683984423807688704	NBA🏀最新复赛情报－聊赛程表以及联盟支持球员发声！(Johnny聊NBA)	['basketball', 'lebron james', 'espn', 'warriors', 'highlights', 'sports', '籃球', 'stephen curry', 'kevin durant', 'raptors', 'strength', 'dunk', 'jay williams', '篮球', 'lakers', 'mvp', 'nba news', '後撤步', 'nba highlights', 'nba videos', 'brazy', 'kingswish', 'kyrie irving', 'toronto raptors', '23', '2020', 'zion williamson', 'giannis antetokounmpo', '新聞', 'news', 'best shot', 'maverick carter', 'newark', 'youth', 'documentary', 'docuseries', 'reality', 'family', 'new jersey', 'inner city', 'mentorship', 'perseverance', 'resilience', '詹姆斯', '柯瑞', '美國職籃', '三分球', '季後賽', '勇士', 'curry', '追追熊']	['NBA', '篮球', '德州扑克', '健身器材', '球鞋开箱']
6703568538773037056	看完你还不入坑我跟你姓！Hot,Toys,1/6比例,钢铁侠MK44,浩克毁灭者`豪华版开箱评测！【LexPlay,第17期】	['濤哥測評 鋼鐵人', '濤哥測評 浩克毀滅者', '大人的玩具 浩克毀滅者', '大人的玩具', '玩具TV', '鋼鐵俠 MK44', '鋼鐵俠', '鋼鐵人', 'mark 44', 'deluxe version', '豪華版', 'hot toys', '鋼鐵俠比例', '戰損戰甲', '馬克85', '馬克', '44', '85', '浩克毀滅者', '爆玩具', 'mk 44', '鋼鐵俠 浩克毀滅者', '鋼鐵俠MK 44', 'MK44', '鋼鐵人浩克毀滅者', '馬克44', 'mk44盒子', '配件包', '钢铁侠开箱马来西亚', '马来西亚', 'hottoys malaysia', '浩克毁灭者 开箱', '钢铁人 浩克毁灭者', 'hot toys 毫克毁灭者', '涛哥测评 钢铁人', '涛哥测评 浩克毁灭者', '大人的玩具 浩克毁灭者', '钢铁侠', '钢铁人', '豪华版', 'deluxe', 'vip', 'vip版本', '浩克毁灭者', '浩克毁灭者评测', 'reissue', '复刻', '再版', '新版', '普通版', '綠巨人', 'mms285', '打桩机手臂', '半身mk43', '重量', '二頭肌移動幅度', '凹痕刻畫', '燈光細節', 'hot toys hulkbuster', 'iron man hulkbuster', '反浩克', '反浩克裝甲', '反浩克裝甲模型']	['科幻片', '特摄', '儿童玩具', '美漫', 'NBA']
6704501120855515136	【让歌延续─唱滚石爱情故事】林雨涵,－,新不了情(4K,Video)	['新不了情', '林雨涵', '黃鬱', '鮑比達', '萬芳', '柏樂文化', '邱旭', '陳宣伶', '淋雨也快樂']	['热门音乐', '翻唱', '经典老歌', '民谣', '情歌']
6699932894125432832	【绝地求生,PUBG】实况主直播遇到越南人❗,双方语言不通...鸡同鸭讲的爆笑对话真的会笑死😂	['pubg', '越南', '泰國', '爆笑', '搞笑', '語言', '中文', '吃雞', '搞基', '刺激戰場', '遊戲', '撩妹', '弟弟', '妹子', '小姊姊', '哥哥', '兄弟', '土味情話', '幽默', '和平菁英', 'pubgm', '槍戰']	['游戏集锦', '游戏实况', '单身主义', '手势舞', '段子']
6700554936898097152	周汤豪,NICKTHEREAL,-,i,GO,/,Chia,Ling,Choreography,@周汤豪,NICKTHEREAL	['iDanceStudio', 'Dance', 'Choreography', 'TaiwanDance', 'DanceFilm', '周湯豪', 'NICKTHEREAL', 'iGo']	['热门音乐', '嘻哈', '手势舞', '港台娱乐', '雷鬼']
6704368548557164544	[蔡乙韶Cover]林俊杰-弹唱	['林俊傑', '蔡乙韶', '彈唱', '木吉他', '和自己對話', 'jjlin', 'cover', '翻唱']	['热门音乐', '翻唱', '民谣', '情歌', '港台娱乐']
6702553310438428672	【三更实录】1987年新疆和田生化僵尸事件美国卫星拍到丧尸吃人照片	['三更实录，鬼故事', '民间鬼事', '鬼故事', '三更实录']	['奇闻怪事', '童话故事', '玄学', '命理', '真实案件']
6704439680895361024	【心灵语坊】,ღ,❣,有没有那么一个人，你真的真的很在乎你,......♩♪❤	['發燒影片', '智慧', '心靈的良藥', '慈悲', '網海茫茫', '轉身陌路', '隨緣而遇', '網絡', '背景音樂', '今生無緣來生再聚', '緣來有份', '珍惜', '愛在今生緣在續', '相守', '相知莫相忘', '相知', '挽留', '夢駝鈴', '笛子', '人', '年齡', '壓力', '營利', '婚誓', '身材', '學歷', '旅途', '禪', '今生不相欠', '來世不相見', '有緣', '心中無缺叫富', '被人需要叫貴', 'LINE', 'ID', '免費', '影音', '粉絲團', '運氣', 'youtu.be', '手握黃昏', '黃昏', '清晨', '一天很短', '流水年華', '前世', '今生', '相欠', '前世相欠', '今生相見', '寶藏', '自己', '過去', '今天', '雨中旋律', '等於', '夢想', '拉鋸', '珍惜在心', '曲終人散', '紅塵永相伴', '陳瑞', '相守在人', '緣起緣滅', '相知相伴', '患難', '成長', '園地', '電腦', '心靈小品', '心靈物語', '天使心語', '音樂欣賞', '歌曲欣賞', '活力人生', '蓬萊仙島', '心靈天使', '心靈語坊', '天使心', '心靈', '天使', '綠野花香', '心靈小語', '教育', '生活', '人生', '偶然', '誕生', '親人', '歡笑', '良心', '感情', '娛樂處事', '一生', '後悔', '生命', '娛樂', '隨緣', '歲月', '天地', '幸福', '父母', '子女', '親情', '勵志', '心靈饗宴', '心靈舒果', '溫馨小品', '惜緣語坊', '靜心語坊', '采紅豆', '采實文化', '安慰', '緣', '佛', '佛說', '修行', '輕音樂', '大陸', '歌曲', '流行']	['励志鸡汤', '小品', '心理健康', '单身主义', '纯音乐']
6704469245130772480	【巧克x巢】极限生友会#12,-,TNT高能！居然可以这么简单就炸到好多个远古遗骸(feat.,@巢哥,)【CC字幕】	['Minecraft', '當個創世神', '麥塊', '我的世界', '巧克白', '生存', '跑酷', '冒險', '逃脫', '解謎', '地圖', '實況', '直播', '影片']	['游戏实况', '游戏资讯', '主机游戏', '游戏集锦', '游戏点评']
6674253220112310272	如何解决肩关节弹响？（放任不管是最错误的做法-珂肌计划EP3）	['健助师', '健助师小珂', '碳循环', '肩关节弹响', '弹响', '健身伤病', '肩部受伤', '运动康复', '肩伤', '肌肉', '增肌', '减脂', '健身干货', '物理治疗', '肩部损伤', '肩部疼痛', '推肩疼痛']	['普拉提', '健身操', '健身计划', '健身技巧', '健身器材']
6704405250860453888	【HDV】TAIWAN,AROWANA,台湾龙鱼国际进口实况	['龍魚', '紅龍', 'Arowana (Organism Classification)', '金龍', '皇宮', '龐大', 'Fish (Animal)']	['观赏鱼', '潜水', '赶海', '钓鱼', '行为艺术']
6701761628981764097	《The,Lodge》睇唔睇得过?,(2020),||,D,继母真系麻Q烦,sosad	['howtindog', 'howtinflix', '電影', '戲', '影評', '小屋', '鄉間小屋']	['影视解说', '影评', '大陆电影', '美剧', '剪辑片段']
6704501017826627584	手机变声器免费下载使用教学(游戏吃鸡都可以使用哟）👍(☆▽☆),（2020）	['變聲器', '变声器手机版', '变声器', 'biansqi']	['游戏集锦', '女仆装', '单身主义', '游戏实况', '手游']
6689162214450728960	食戟のソーマ-アフリカンラーメン,非洲拉面【RICO】アニメ料理実写化EP,-201	['RICO', '二次元具現化', '二次元食物具現化', '二次元食物', 'アニメ料理実写化', '美食', '料理', '動畫', 'anime']	['吃播', '美食教程', '创意料理', '川菜', '烘焙']
6704606936052862976	【2012.11.13】小庭庭的摇滚深情版生日快乐歌,(请注意最后一秒！)	['生日快樂', '生日快樂 搞笑 可愛 寶貝 巧虎', '搞笑', '可愛', '寶貝', '巧虎']	['早教', '儿童节目', '儿歌', '儿童动画', 'K12']
6704499356848689152	[水彩画教学],如何画不透明水彩风景画？,一层一层画出秋天景色, |,不透明水彩EP3,|,银矿湾,[E.Q.Art香港优质美术教育中心]	['繪畫 教學', '不透明水彩', '風景畫', 'Gouache', 'painting tutorial', '水彩畫教學', '繪畫 基礎', '水彩畫', '水彩教學', '水彩畫技巧', '水彩风景画', '水彩畫風景', '水彩画', '水彩畫畫', '繪畫 技巧']	['绘画', '动漫教学', '行为艺术', '手帐', 'Q版']
6704500212499288064	小UNA也太强～水饺吃六颗｜是要参加儿童界大胃王比赛是吧(1y4m)eat,six,dumplings｜Is,going,to,participate,in,the,children`s,big	['吃播', '吃秀', '寶貝', '親子', 'vlog']	['吃播', '美食测评', '美食教程', '探店', '美食猎奇']
6704485291879374848	【刀剣乱舞】大和守安定をイメージしてピアノ曲作ってみた【特】	['刀剣乱舞', 'piano', 'invicta']	['声优', '武术', '同人', 'MMD', '行为艺术']
6704582980130377728	【平沢进/P-MODEL】2D,OR,NOT,2D（歌词付き）PV	['平沢進', 'susumu', 'hirasawa', '歌詞付き', 'PV', '2D OR NOT 2D', 'P-MODEL']	['声优', '日本娱乐', 'ED', '书法', '日本综艺']
